Food Item,Category,Cuisine
Hot Chocolate,Beverage,Japanese
Butter Chicken,Meal,Korean
Granola Bar,Snack,French
Clam Chowder,Meal,Middle Eastern
Chips,Snack,Middle Eastern
Grilled Cheese,Meal,American
Pasta,Grain,Korean
Chocolate Bar,Snack,Korean
Lemonade,Beverage,Thai
Oatmeal,Grain,American
Tortilla,Grain,Middle Eastern
Corn,Vegetable,American
Shakshuka,Meal,Mexican
Burrito,Meal,Middle Eastern
Cottage Cheese,Dairy,Middle Eastern
Tofu,Protein,Middle Eastern
Strawberry,Fruit,Mexican
Pretzels,Snack,Middle Eastern
Lasagna,Meal,Chinese
Smoothie,Beverage,French
Fried Rice,Meal,Japanese
Tomato,Vegetable,Korean
Quinoa,Grain,French
Greek Yogurt,Dairy,Italian
Ramen,Meal,French
Caesar Salad,Meal,American
Peas,Vegetable,Indian
Cucumber,Vegetable,Japanese
Ice Cream,Dairy,Italian
Sandwich,Meal,Korean
Salmon,Protein,French
Sour Cream,Dairy,Middle Eastern
Spaghetti Bolognese,Meal,Japanese
Curry,Meal,Mexican
Trail Mix,Snack,Middle Eastern
Yogurt,Dairy,Mexican
Croissant,Grain,Indian
Candy,Snack,Korean
Bagel,Grain,French
Rice,Grain,Japanese
Frittata,Meal,Italian
Cupcake,Snack,Indian
Couscous,Grain,Indian
Zucchini,Vegetable,Korean
Shrimp,Protein,Thai
Macaroni and Cheese,Meal,Middle Eastern
Pizza,Meal,Korean
Juice,Beverage,Middle Eastern
Cheeseburger,Meal,French
Tacos,Meal,Middle Eastern
Chicken Breast,Protein,Japanese
Waffles,Meal,Korean
Blueberries,Fruit,American
Coffee,Beverage,Mexican
Stew,Meal,Japanese
Beverage,Meal,Middle Eastern
Popcorn,Snack,French
Peach,Fruit,Indian
Carrot,Vegetable,Indian
Milk,Dairy,Korean
Tofu,Protein,Japanese
Grapes,Fruit,Middle Eastern
Pho,Meal,Thai
Beef Steak,Protein,Mexican
Kebab,Meal,Indian
Naan,Grain,French
Soda,Beverage,American
Pineapple,Fruit,Italian
Milkshake,Beverage,Middle Eastern
Bell Pepper,Vegetable,Korean
Pork Chops,Protein,French
Chili,Meal,Korean
Lettuce,Vegetable,Mexican
Cucumber,Vegetable,Thai
Naan,Grain,French
Eggs,Protein,Middle Eastern
Watermelon,Fruit,French
Whipped Cream,Dairy,Korean
Mango,Fruit,American
Bagel,Grain,Korean
Broccoli,Vegetable,French
Tea,Beverage,Mexican
Sushi,Meal,French
Frittata,Meal,Middle Eastern
Iced Tea,Beverage,Japanese
Croissant,Grain,French
Spinach,Vegetable,Korean
Tempeh,Protein,Japanese
Orange,Fruit,Mexican
Banana,Fruit,French
Cupcake,Dessert,American
Carrot,Vegetable,Indian
Grapes,Fruit,French
Ice Cream,Dessert,French
Peach,Fruit,French
Blueberries,Fruit,Italian
Apple,Fruit,French
Cheese,Dairy,Italian
Curry,Meal,French
Falafel,Meal,Middle Eastern
Bibimbap,Meal,Korean
Waffles,Meal,Middle Eastern
Clam Chowder,Meal,French
Lobster Roll,Meal,Middle Eastern
Hot Dog,Meal,Mexican
